portid,ISO3,continent,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,disaster_indicator,resilience_cluster,portname,impact_score,cargo_redistributed,available_capacity,cargo_received
port303,IRL,Europe,53.71699842,-6.339268261,183,16,0,159,0,7,Chemical & Allied Industries,Mineral Products,Metals,1.65,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Drogheda,0,,183.0,183.0
port304,SAU,Asia & Pacific,27.55991231,35.5465967,75,2,12,61,0,0,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.25,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Duba,0,,75.0,75.0
port305,SAU,Asia & Pacific,27.32760527,35.73491023,77,0,0,0,0,77,Mineral Products,Chemical & Allied Industries,Vegetable Products,1.06,0.04,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8101.70195556191,0.0,8101.70195556191,0.0,0.0,0.0,0.0,2035.83822849792,0.0,2035.83822849792,0,1,Duba Bulk Plant Tanker Terminal,0,,0.0,0.0
port306,ARE,Asia & Pacific,25.27337362,55.290821,1644,137,53,1002,26,425,Mineral Products,Chemical & Allied Industries,Vegetable Products,1.75,3.36,2.0,2.0,7.0,1.0,9.0,12.0,21.0,0.0,1709.42667831729,143.633865805154,0.0,17955.5058139443,1853.06054412245,19808.5663580668,12819.6460890896,3894.3554593293,13356.7781076571,0.0,69061.8167461237,30070.7796560761,99132.5964021998,0,1,Dubai,0,,0.0,0.0
port307,IRL,Europe,53.34632538,-6.204935593,2353,954,78,745,79,496,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,52.54,29.66,3.0,0.0,2.0,1.0,2.0,6.0,8.0,3256.54590620223,0.0,304.411741769884,763.725211249197,4766.19681520065,4324.68285922131,9090.87967442195,481.742255772302,0.0,561.185307018621,0.0,0.0,1042.92756279092,1042.92756279092,0,1,Dublin,0,,0.0,0.0
port308,RUS,Europe,69.40312102,86.17703837,113,74,1,37,0,0,Mineral Products,Prepared Foodstuffs & Beverages,Metals,0.62,0.08,1.0,0.0,0.0,0.0,0.0,1.0,1.0,487.90413576879,0.0,0.0,0.0,0.0,487.90413576879,487.90413576879,2615.65297150156,0.0,0.0,0.0,0.0,2615.65297150156,2615.65297150156,0,1,Dudinka,0,,0.0,0.0
port309,IDN,Asia & Pacific,1.717388504,101.4188235,2482,23,190,248,6,2015,Mineral Products,Chemical & Allied Industries,Prepared Foodstuffs & Beverages,2.48,11.58,0.0,4.0,0.0,0.0,12.0,4.0,16.0,0.0,55213.5126352571,0.0,0.0,1278.76031183753,55213.5126352571,56492.2729470947,0.0,27564.0796235338,0.0,0.0,44204.1544387209,27564.0796235338,71768.2340622547,0,1,Dumai,0,,0.0,0.0
port31,ESP,Europe,36.16592191,-5.414266528,5796,2993,296,328,4,2174,Mineral Products,Vegetable Products,Chemical & Allied Industries,15.65,19.0,14.0,3.0,2.0,0.0,18.0,19.0,37.0,27652.4844552431,0.0,0.0,0.0,7007.94281718012,27652.4844552431,34660.4272724232,27724.936968164,7061.27316223671,244.312864514968,0.0,29016.1605966372,35030.5229949157,64046.6835915529,0,1,Algeciras,0,,0.0,0.0
port310,FRA,Europe,51.020683,2.266776649,2120,557,365,589,2,606,Mineral Products,Metals,Chemical & Allied Industries,18.44,10.79,3.0,2.0,5.0,0.0,3.0,10.0,13.0,4718.25572271005,65972.8717238486,3353.19664578638,0.0,20049.0246883247,74044.324092345,94093.3487806697,4582.5866777311,0.0,4641.91644598319,0.0,0.0,9224.5031237143,9224.5031237143,0,1,Dunkirk,0,,0.0,0.0
port311,ZAF,Africa,-29.88212961,31.02302243,2503,692,696,212,287,613,Mineral Products,Chemical & Allied Industries,Vegetable Products,48.8,9.23,1.0,9.0,1.0,1.0,1.0,12.0,13.0,19261.424568548,82253.449858694,0.0,2876.29548353201,0.0,104391.169910774,104391.169910774,0.0,37740.5324708202,2273.93150313021,0.0,0.0,40014.4639739504,40014.4639739504,0,1,Durban,0,,0.0,0.0
port312,ALB,Europe,41.34064126,19.4439999,267,69,25,169,0,2,Mineral Products,Prepared Foodstuffs & Beverages,Metals,40.7,45.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,590.879459675643,0.0,0.0,590.879459675643,590.879459675643,0.0,0.0,40.4531779696551,0.0,0.0,40.4531779696551,40.4531779696551,0,1,Durres,0,,0.0,0.0
